"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"Q4,Q1,Q2,Q3";"VND5N07";4;"VND5N07";;;
2;"P4,P4,P4,P4,P5,P6";"SolderWirePad_single_0-8mmDrill";6;"CONN_01X01";;;
3;"R2,R11,R12,R35,R36,R45,R21,R52,R54,R56,R58";"R_1206_HandSoldering";11;"1k";;;
4;"C3,C2";"C_1206_HandSoldering";2;"22p";;;
5;"C5,C38,C24,C26,C12,C13,C18,C15,C1,C4,C28,C30,C32,C34,C36,C7";"C_1206_HandSoldering";16;"0.1u";;;
6;"C14,C10";"C_1206_HandSoldering";2;"470p";;;
7;"R49,R39,R41,R42,R43,R46,R47,R48";"R_1206_HandSoldering";8;"470R";;;
8;"C39,C25,C27,C29,C31,C33,C35,C37";"C_1206_HandSoldering";8;"0.22u";;;
9;"P2,P3";"SolderWirePad_2x_0-8mmDrill";2;"CONN_01X01";;;
10;"R38,R40";"R_1206_HandSoldering";2;"2.49k";;;
11;"P1";"Pin_Header_Straight_2x03";1;"SPI";;;
12;"IC1";"TQFP-64_14x14mm_Pitch0.8mm";1;"ATMEGA2561-A_V2";;;
13;"C17";"C_1206_HandSoldering";1;"1u";;;
14;"C19,C20";"C_1206_HandSoldering";2;"1n";;;
15;"C21,C22";"C_1206_HandSoldering";2;"0.01u";;;
16;"Q5,Q6,Q7,Q8";"TO-220_Neutral123_Vertical";4;"BIP373";;;
17;"R13,R14,R16,R3,R4,R5,R6";"R_1206_HandSoldering";7;"10k";;;
18;"R17,R18,R19,R20";"R_2010_HandSoldering";4;"10k";;;
19;"U3";"QSOP-16_3.9x4.9mm_Pitch0.635mm";1;"MAX9926";;;
20;"U5,U6";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"TC4424";;;
21;"U1";"MPXA4250_baro";1;"MPXA4250-baro";;;
22;"U2";"MPXA4250";1;"MPX4250";;;
23;"R9,R10,R33,R34,R22,R51,R53,R55,R57";"R_1206_HandSoldering";9;"100k";;;
24;"C16";"C_1206_HandSoldering";1;"4.7u";;;
25;"C23";"C_1206_HandSoldering";1;"100n";;;
26;"R15";"R_1206_HandSoldering";1;"4.7k";;;
27;"U4";"SSOP-28_5.3x10.2mm_Pitch0.65mm";1;"FT232RL";;;
28;"JP1,JP2,JP3,JP4,JP5,JP7";"Pin_Header_Straight_1x03";6;"JUMPER3";;;
29;"JP6";"Pin_Header_Straight_1x02";1;"JUMPER";;;
30;"D1";"LED_1206";1;"LED";;;
31;"D7,D9";"SOD-123";2;"1N5818";;;
32;"U7,U8";"sot223";2;"LM2940T-5.0";;;
33;"D8";"C_Disc_D7.5_P5";1;"ERZV14D220";;;
34;"SW1";"smd_push";1;"RESET PUSH";;;
35;"D10,D2";"do214ac";2;"1N5919BG";;;
36;"con1";"CinchMX32";1;"CinchMX32";;;
37;"USB1,HC5";"Pin_Header_Straight_1x04";2;"CONN_01X04";;;
38;"U10";"SOIC-16_3.9x9.9mm_Pitch1.27mm";1;"ULN2003";;;
39;"C6";"C_1206_HandSoldering";1;"4.7n";;;
40;"R1";"R_1206_HandSoldering";1;"1M";;;
41;"R44";"R_1206_HandSoldering";1;"3.9k";;;
42;"Q9";"TO-220_Neutral123_Vertical";1;"STP62NS04Z";;;
43;"R25,R26,R27,R28,R29,R30,R31,R32";"R_2010_HandSoldering";8;"160R";;;
44;"G***";"Speeduino_LOGO2";1;"LOGO";;;
45;"Y1";"Crystal_HC-49_smd_11.1_3.8";1;"16MHz";;;
46;"C11,C8";"TantalC_SizeC_EIA-6032";2;"47u";;;
47;"C9";"TantalC_SizeC_EIA-6032";1;"10u";;;
48;"hs_5770,hs_5770,hs_5770,hs_5770,hs_5770";"hs_5771";5;"VAL***";;;
